title,date
[e공시 눈에 띄네]코스닥-1일,2021-12-02 7:23
[e공시 눈에 띄네]코스피-1일,2021-12-02 7:16
[재송]1일 장 마감 후 주요 종목뉴스,2021-12-02 6:01
"일본, 2번째 오미크론 확진자 발생…화이자 접종 '돌파감염'",2021-12-01 20:49
1일 장 마감 후 주요 종목뉴스,2021-12-01 18:52
"CJ씨푸드, 1우선주 관리종목 지정 우려...‘월거래량 1만주 미만’",2021-12-01 18:29
"동양, 3우선주 관리종목 지정 우려...‘상장주식수 미달’",2021-12-01 18:29
"롯데지주, 1우선주 관리종목 지정 우려...‘월거래량 1만주 미만’",2021-12-01 18:29
"SK네트웍스, 1우선주 관리종목 지정 우려...‘월거래량 1만주 미만’",2021-12-01 18:21
"신원, 1우선주 관리종목 지정 우려...‘상장주식수 미달’",2021-12-01 18:16
"거래소, KG동부제철 1우선주 관리종목 지정 우려...‘거래량·상장주식수 미달’",2021-12-01 18:10
"현대비앤지스틸, 1우선주 관리종목 지정 우려...‘월평균 거래량 1만주 미만’",2021-12-01 17:54
"JW중외제약, 2우선주(신형) 관리종목 지정 우려...‘상장주식수 10만주 하회’",2021-12-01 17:47
"코오롱 자회사 코오롱글로벌, 2190억 규모 채무보증 결정",2021-12-01 17:29
"거래소, KT 불성실공시법인 지정 안한다...“감경에 따른 벌점 미부과”",2021-12-01 17:24
"삼양홀딩스, ‘삼양화성’ 자회사에서 탈퇴...지분율 50% → 1.9%",2021-12-01 17:15
"일진머트리얼즈, 자회사에 520억 금전대여 결정",2021-12-01 17:09
"네이버제트, 2236억 규모 3자배정 유상증자 결정",2021-12-01 17:04
"이아이디, 자회사 136억 규모 토지·건물 취득 결정",2021-12-01 16:56
"한국비엔씨, 2000억원 주주배정 유상증자 결정",2021-12-01 16:51
"아이에이치큐, 제3자 배정 50억 유상증자 결정",2021-12-01 16:51
"페이퍼코리아, 계열사 나투라미디어에 34억 운영자금 대여 결정",2021-12-01 16:43
"GS건설, 2454억 규모 탄방동1구역 주택재건축정비사업 수주",2021-12-01 16:36
"OCI, 자회사 1720억 규모 생산설비 도입 결정",2021-12-01 16:15
"에스피시스템스, 기아 인도법인에 로봇 자동화 시스템 공급",2021-12-01 16:09
"GS건설, 2454억 규모 대전 탄방동 주택재건축정비사업 공사수주",2021-12-01 16:07
"GS건설, 4886억 규모 광명 주택재개발사업 공사수주",2021-12-01 15:56
"계룡건설, 911억 규모 판교 제2테크노밸리 건립공사 수주",2021-12-01 15:47
"알서포트, 서울 고덕비즈밸리에 사옥 신축 결정",2021-12-01 15:42
"마이크로디지탈, 베트남에 코로나19 진단키트 공급",2021-12-01 15:41
"일진머트리얼즈, 107억 규모 美 팩토리얼 지분 취득 결정",2021-12-01 15:32
"계룡건설, 911억 규모 판교 제2테크노밸리 건립공사 수주",2021-12-01 15:25
"쌍용차, 11월 8778대 판매...10월 比 83.7%↑",2021-12-01 15:22
"세방, 50억 규모 자사주 취득 신탁계약 체결",2021-12-01 14:50
"하나기술, 197억 규모 전지 조립 양산 턴키장비 공급계약",2021-12-01 14:06
"신성이엔지, 24억 규모 지붕형 태양광발전소 설치공사 수주",2021-12-01 13:41
"신성이엔지, 25억 규모 태양광발전소 설치공사 계약",2021-12-01 13:38
"알서포트, 449억 규모 신규시설 투자 결정",2021-12-01 13:30
"조비, 38억 규모 비료 납품계약 체결",2021-12-01 12:32
"마이크로디지탈, 55억 규모 COVID-19 대용량 항체진단키트 공급계약",2021-12-01 11:43
"삼성중공업, 계약 파기된 드릴십 매각 성공 소식에 4%대 강세",2021-12-01 11:39
"대우조선해양, 총 1조4956억 규모 수주 계약",2021-12-01 11:17
"대우조선해양, 1조 규모 LNG 운반선 4척 수주",2021-12-01 11:16
"대우조선해양, 4924억 규모 LNG 운반선 2척 수주",2021-12-01 11:13
"한라, 806억 규모 김해 삼문동 아파트 신축공사 수주",2021-12-01 11:08
"삼성카드, 삼성전자와 車 284대 운용리스 계약...115억 규모",2021-12-01 11:02
"원풍, 10억 규모 자사주 취득 결정",2021-12-01 10:59
"한라, 806억 규모 장유삼문 아파트 신축사업 수주",2021-12-01 10:56
"삼성전자, 사회복지공동모금회에 256억 기부",2021-12-01 10:55
"삼성전자, UNDP에 32억 기부금 출연",2021-12-01 10:51
"메디톡스, 주당 0.05주 주식배당 결정",2021-12-01 10:46
"파인텍, 삼성디스플레이 베트남 법인에 OLED 제조장비 공급",2021-12-01 10:25
"삼성중공업, 2897억 규모 드릴십 1척 매각",2021-12-01 10:12
파인텍 “삼성디스플레이에 OLED 제조장비 공급키로” [주목 e공시],2021-12-01 10:03
"파인텍, 47억 규모 OLED 제조장비 공급 계약",2021-12-01 9:55
[재송]30일 장 마감 후 주요 종목 뉴스,2021-12-01 7:01
"아이에이치큐, 100억 규모 전환사채 발행 결정",2021-11-30 19:06
30일 장 마감 후 주요 종목 뉴스,2021-11-30 18:32
포티스 최대주주 김정수→풍진티에프씨 변경,2021-11-30 17:53
한스바이오메드 영업손실 198억…적자폭 확대,2021-11-30 17:53
KH필룩스 100억 전환사채 발행 결정,2021-11-30 17:38
"인산가, 120억 규모 전환사채 발행 결정",2021-11-30 17:37
LG전자 배두용 단독 대표체재 변경,2021-11-30 17:36
"휴먼엔, 25.5억 규모 해상고철 납품 계약",2021-11-30 17:36
"수성이노베이션, 70억 규모 전환사채 발행 결정",2021-11-30 17:34
"롯데제과, 신동빈·이영구 대표 변경",2021-11-30 17:34
"디지탈옵틱, 309억 규모 제3자배정 유상증자 결정",2021-11-30 17:32
"롯데제과, 신동빈·이영구 대표이사 체제로 변경",2021-11-30 17:27
한국특강 200억 규모 전환사채 발행,2021-11-30 17:24
"대상홀딩스, 혜성프로비젼·크리스탈팜스 자회사 편입",2021-11-30 17:13
"우성, 274억규모 자회사 채무보증 결정",2021-11-30 17:07
"우성, 246억 규모로 우성사료 채무보증 결정",2021-11-30 17:06
"골드퍼시픽, 바이오사업부 부천지점 영업정지",2021-11-30 17:03
"리노스, 50억 규모 전환사채 발행 결정",2021-11-30 17:02
"서남, 50억 규모 전환사채 발행 결정",2021-11-30 17:00
"초록뱀컴퍼니, 815억 규모 유형자산 양수 결정",2021-11-30 16:38
"리노스, 50억 규모 전환사채 발행 결정",2021-11-30 16:35
"토비스,10억 규모 자사주 처분 결정",2021-11-30 16:33
"하나머티리얼즈, 하나마이크론 지분 9.9%로 확대",2021-11-30 16:31
효성중공업 803억 규모 오피스텔 공사 수주,2021-11-30 16:31
"아이에이치큐, 815억에 신사동 건물 매각",2021-11-30 16:29
"이즈미디어, 300억 규모 전화사채 발행 결정",2021-11-30 16:28
"경남제약, 80억 규모 전환사채 발행 결정",2021-11-30 16:26
