title,date
"GS건설, 2570억 규모 신곡6지구 A3블록 공동주택사업 수주",2021-09-24 13:13
[부고] 황성민(삼성자산운용 커뮤니케이션 담당)씨 빙모상,2021-09-24 12:38
"한미반도체, 소니 태국 법인과 24억 규모 공급 계약",2021-09-24 11:26
"휴마시스, 셀트리온과 273억 규모 코로나 신속진단키트 공급 계약",2021-09-24 11:25
"휴맥스, 충전업체 차지비 인수…결정된 사항 없어",2021-09-24 11:25
"초록뱀미디어, 제이티비씨스튜디오와 80억 규모 드라마 제작 계약",2021-09-24 11:23
"휴마시스, 셀트리온과 273억 규모 코로나19 항원진단키트 공급계약",2021-09-24 11:17
"한미반도체, 24억 규모 반도체 제조용 장비 공급계약",2021-09-24 11:14
"일동홀딩스, 자회사 일동바이오사이언스 주식 200억 규모 처분 결정",2021-09-24 11:06
"초록뱀미디어, 80억 규모 JTBC 드라마 제작 계약",2021-09-24 10:15
"롯데케미칼, 500억 규모 ESG펀드 조성",2021-09-24 09:57
[e공시 눈에 띄네] 코스피-23일,2021-09-24 08:40
[e공시 눈에 띄네] 코스닥-23일,2021-09-24 08:32
"[기업공시 9월 23일] 메디아나, 주당 0.85주 배정 무상증자 결정 등",2021-09-24 07:05
장 마감 후 기업공시[9월 24일],2021-09-23 18:34
"판타지오, CB 전환가액 114원→106원 조정",2021-09-23 18:04
"메디포스트, 불성실 공시법인 미지정",2021-09-23 18:04
삼보산업 458만4520주 CB 전환청구권 행사,2021-09-23 17:57
"체리부로, 40억 규모 담보제공 결정",2021-09-23 17:43
"셀리버리, 155억 규모 제3자 배정 유상증자",2021-09-23 17:43
"덕우전자, 와이투솔루션 지분 27% 인수…최대주주로",2021-09-23 17:42
"포스코ICT, 288억 규모 채무 인수 결정",2021-09-23 17:25
"매직마이크로 ""전 대표이사 횡령·배임설 미확정""",2021-09-23 17:25
"현대바이오, 98만4263주 CB 전환청구권 행사",2021-09-23 17:14
"디티앤씨, BW 행사가액 7078원→6185원 조정",2021-09-23 17:14
"셀트리온, 편두통치료제 원료의약품 위탁개발생산 계약…393억 규모",2021-09-23 16:59
"핸즈코퍼레이션, 인천2공장 화재로 생산중단",2021-09-23 16:56
"한전KPS, 김우겸 사외이사 선임 위한 임시주총 개최",2021-09-23 16:52
"셀트리온, 393억 규모 편두통치료제 원료의약품 위탁개발생산 계약",2021-09-23 16:52
"한전KPS, 김우겸 사외이사 선임 위한 임시주총",2021-09-23 16:51
"시티랩스, 로라크에 160억 규모 담보 제공",2021-09-23 16:48
"에스디생명공학, CB 전환가액 4504원→4117원 조정",2021-09-23 16:47
"KCC건설, 알비디케이에 500억규모 채무보증 결정",2021-09-23 16:46
"수성이노베이션, CB 행사…63만7348주 신규 상장",2021-09-23 16:45
"에스디생명공학, CB 전환가액 4504원→4117원 조정",2021-09-23 16:39
"와이제이게임즈, CB 전환가액 2794원→2210원 조정",2021-09-23 16:39
"시티랩스, 로라크에 160억 규모 담보제공",2021-09-23 16:39
"KCC건설, 알비디케이에 500억규모 채무보증 결정",2021-09-23 16:38
"수성이노베이션, CB 행사…63만7348주 신규 상장",2021-09-23 16:38
"경남제약, 배건우→오성원 대표이사 변경",2021-09-23 16:38
"대유, CB 전환가액 8193원→7871원 조정",2021-09-23 16:21
"에이치앤비디자인, 21.8억 규모 CB 만기 전 취득",2021-09-23 16:19
"대유, CB 전환가액 8193원→7871원 조정",2021-09-23 16:19
[부고] 신명진(한국예탁결제원 IT서비스2부 차장)씨 시부상,2021-09-23 16:17
"티로보틱스, CB 전환가액 8842원→7596원 조정",2021-09-23 16:05
"하이골드3호, 주총서 선박 매각 공개입찰 승인부결",2021-09-23 16:01
"엔시스, 42.5억 규모 2차 전지 장비 공급계약",2021-09-23 15:59
장 중 기업공시[9월 23일],2021-09-23 15:56
"쏠리드, 쏠리드랩스 지분 추가 취득…100% 자회사 편입",2021-09-23 15:55
"엔시스, 43억 규모 2차전지 검사장비 공급계약",2021-09-23 15:47
"쏠리드, 종속회사 쏠리드랩스 주식 110억 규모 추가 취득 결정",2021-09-23 15:43
"[시그널] 상장 앞둔 야나두, 교육IT업체 폭스소프트 인수",2021-09-23 15:39
"남양유업, 한앤코에 손해배상 청구 소송 제기",2021-09-23 15:34
"씨에스베어링, CB·BW 전환가액 2만8627원→2만8464원 조정",2021-09-23 15:31
"한미반도체, 24억 규모 반도체 제조용 장비 공급계약",2021-09-23 15:19
"한미반도체, 반도체 제조용 장비 공급계약…24억 규모",2021-09-23 15:15
"메디아나, 1주당 0.85주 무상증자 결정",2021-09-23 14:53
"진로발효, 대신증권과 유동성 공급계약 체결",2021-09-23 14:53
메디아나 “주당 0.85주 무상증자 결정” [주목 e공시],2021-09-23 14:37
'채시라 남편' 김태욱 회사 직원들 100억 '돈방석' 앉는다,2021-09-23 14:27
NH투자증권 “2000억 유상증자 추진? 결정된 바 없다”,2021-09-23 14:25
"인탑스, 50억 규모 자사주 취득 신탁계약 체결",2021-09-23 14:09
"메디아나, 1주당 0.8537501주 배정 무상증자 결정",2021-09-23 13:54
"코아시아옵틱스, 코아시아씨엠 지분 18% 추가 취득…최대주주로",2021-09-23 12:50
"DL이앤씨, 부산항 신항 항만배후단지 조성공사 수주",2021-09-23 12:02
"네오셈, 32억 규모 반도체 검사장비 공급계약",2021-09-23 11:04
"위드텍, LG디스플레이와 30억 규모 공급계약 체결",2021-09-23 09:52
"위드텍, LG디스플레이와 30억 규모 장비 공급계약",2021-09-23 09:36
현대비앤지스틸 “파업으로 창원공장 생산 중단”[주목 e공시],2021-09-23 08:20
"현대비앤지스틸 창원공장, 18일부터 생산중단",2021-09-23 08:17
